file,sentence
common_voice_ru_19066631.mp3,"Дамы и господа, позвольте мне предоставить слово господину Министру."
common_voice_ru_19066632.mp3,А сейчас слово имеет посол Нидерландов.
common_voice_ru_19066634.mp3,И тут тоже существенное значение имел бы внешний экспертный потенциал.
common_voice_ru_19066635.mp3,"Как и в предыдущие годы, Израиль проголосовал за этот проект резолюции."
common_voice_ru_19066636.mp3,"Это означает, что Конференция сохраняет необходимый потенциал для возобновления субстантивной работы."
common_voice_ru_19066637.mp3,Слово имеет Куба.
common_voice_ru_19066638.mp3,Мы договорились посвятить полдня каждому неофициальному заседанию.
common_voice_ru_19066639.mp3,В нем отражен основной принцип — действие в ответ на действие.
common_voice_ru_19066640.mp3,"Мы решительно настаиваем на том, что двойные стандарты и дискриминация недопустимы."
common_voice_ru_19066641.mp3,Принципы все-таки имеют значение в политике.
common_voice_ru_19066642.mp3,Такая практика должна применяться ко всем.
common_voice_ru_19066643.mp3,И ключевое значение в этих усилиях имеет Конференция по разоружению.
common_voice_ru_19066651.mp3,Необязывающей политической декларации тут просто недостаточно.
common_voice_ru_19066652.mp3,"Наоборот, это приведет к сохранению проблем, ослабив нажим, необходимый для их решения."
common_voice_ru_19066653.mp3,Последний пример в этом ряду — взятое нами обязательство ликвидировать все запасы высокообогащенного урана.
common_voice_ru_19066667.mp3,"Авторы данного проекта решения выразили пожелание, чтобы он был принят Комитетом без голосования."
common_voice_ru_19066668.mp3,Япония находится под ядерной защитой Соединенных Штатов.
common_voice_ru_19066669.mp3,Бангладеш поддерживает состоящее из пяти пунктов предложение Генерального секретаря относительно ядерного разоружения.
common_voice_ru_19066670.mp3,"Я отмечаю осознание неотложности задач, которым были отмечены многие выступления."
common_voice_ru_19066677.mp3,Этот запрет должен также распространяться на не менее смертоносные современные обычные вооружения.
common_voice_ru_19066679.mp3,"Я думаю, что предложение мексиканской делегации наиболее точно."
common_voice_ru_19066680.mp3,"Возражений нет, и решение принимается."
common_voice_ru_19066696.mp3,Для предотвращения этой угрозы необходим новый международно-правовой инструмент.
common_voice_ru_19066697.mp3,Меры по укреплению доверия и безопасности имеют не меньшее значение и на региональном уровне.
common_voice_ru_19066731.mp3,Сотрудничество и помощь жизненно важны в осуществлении Программы действий и укреплении потенциала государств.
common_voice_ru_19066732.mp3,"Благодарю Вас, господин министр, и спасибо за Ваши замечания."
common_voice_ru_19066734.mp3,"Желающих, по всей видимости, нет, и на этом наша работа на сегодня завершается."
common_voice_ru_19066737.mp3,Я был в Газе.
common_voice_ru_19066738.mp3,Так что нам следует рассмотреть альтернативные стратегии в русле разоружения.
common_voice_ru_19066739.mp3,"Для этого Конференция должна занять всесторонний, комплексный и прагматичный подход."
common_voice_ru_19066741.mp3,Предлагались различные сроки.
common_voice_ru_19066743.mp3,"Мы также разделяем некоторые озабоченности, высказанные делегацией Мексики."
common_voice_ru_19066744.mp3,"Такие параллельные мероприятия очень своевременны, совершенно необходимы и должны быть продолжены."
common_voice_ru_19066745.mp3,"Вот почему я и представил это членам, вот почему мы так старались."
common_voice_ru_19066746.mp3,Этот пункт касается начала переговоров по договору о запрещении производства расщепляющегося материала.
common_voice_ru_19066747.mp3,"Конечно, любая страна в конечном счете может и вправе выступить против него."
common_voice_ru_19066748.mp3,Благодарю посла Пакистана за его заявление и добрые слова.
common_voice_ru_19066749.mp3,Не должно быть места поспешным или навязываемым решениям.
common_voice_ru_19066750.mp3,Но я выскажу лишь два комментария относительно этой диагностической логики.
common_voice_ru_19066751.mp3,Для достижения прогресса требуется политическая воля государств и наличие функциональных механизмов для ее реализации.
common_voice_ru_19066752.mp3,Слово имеет Швейцария.
common_voice_ru_19066753.mp3,Это было сделано в рамках заседаний Подготовительного комитета.
common_voice_ru_19066754.mp3,Ядерное нераспространение является важнейшим условием полного запрещения и уничтожения ядерного оружия.
common_voice_ru_19066755.mp3,Тут вот упоминается конструктивная двусмысленность.
common_voice_ru_19066767.mp3,Заверяю вас в полной поддержке и сотрудничестве моей делегации в связи с вашим председательством.
common_voice_ru_19066770.mp3,Мы разделяем высказываемые некоторыми участниками опасения по поводу рисков распространения.
common_voice_ru_19067127.mp3,В этом-то и состоит суть многосторонней дипломатии.
common_voice_ru_19067128.mp3,Мы признаем большие прежние заслуги этих форумов.
common_voice_ru_19067129.mp3,"Совершенно очевидно, что для выхода из тупика нет легкого решения."
common_voice_ru_19277620.mp3,"Тем не менее, он должен и будет идти вперед."
common_voice_ru_19277621.mp3,"По нашему мнению, это свидетельствует о потенциале Совета в области превентивной дипломатии."
common_voice_ru_19277625.mp3,К решению этой проблемы необходимо привлечение научно-технического и финансового потенциала всего мирового сообщества.
